BodyType,Make,GenModel,Model,YearFirstUsed,YearManufacture,Licensed,SORN,Electric motor_Electric motor type,Electric motor_Location of the motor,Electric motor_Power,Electric motor_Torque,Second electric motor_Motor type,Second electric motor_Location,Second electric motor_Power,Second electric motor_Torque,Second electric motor_Regenerative braking
Cars,AUDI,AUDI E-TRON,E-TRON 55 QUATTRO,2021,2021,30,0,AC induction/asynchronous,Rear,140 kW (kilowatts)187.7 hp (mechanical horsepower)190.3 ps (metric horsepower),314 Nm (newton meters)32.0 kgm (kilogram meters)231.6 ft-lb (foot-pounds),AC induction/asynchronous,Front,125 kW (kilowatts)167.6 hp (mechanical horsepower)170.0 ps (metric horsepower),247 Nm (newton meters)25.2 kgm (kilogram meters)182.2 ft-lb (foot-pounds),
Cars,AUDI,AUDI E-TRON,E-TRON 55 QUATTRO,2020,2020,846,1,AC induction/asynchronous,Rear,140 kW (kilowatts)187.7 hp (mechanical horsepower)190.3 ps (metric horsepower),314 Nm (newton meters)32.0 kgm (kilogram meters)231.6 ft-lb (foot-pounds),AC induction/asynchronous,Front,125 kW (kilowatts)167.6 hp (mechanical horsepower)170.0 ps (metric horsepower),247 Nm (newton meters)25.2 kgm (kilogram meters)182.2 ft-lb (foot-pounds),
Cars,AUDI,AUDI E-TRON,E-TRON 55 QUATTRO,2019,2019,624,16,AC induction/asynchronous,Rear,140 kW (kilowatts)187.7 hp (mechanical horsepower)190.3 ps (metric horsepower),314 Nm (newton meters)32.0 kgm (kilogram meters)231.6 ft-lb (foot-pounds),AC induction/asynchronous,Front,125 kW (kilowatts)167.6 hp (mechanical horsepower)170.0 ps (metric horsepower),247 Nm (newton meters)25.2 kgm (kilogram meters)182.2 ft-lb (foot-pounds),
Cars,AUDI,AUDI E-TRON,E-TRON S QUATTRO,2021,2021,262,0,AC induction/asynchronous,Rear,,,AC induction/asynchronous,Front,,,Yes
Cars,HONDA,HONDA E,E,2020,2020,25,0,,Rear,100 kW (kilowatts)134.1 hp (mechanical horsepower)136.0 ps (metric horsepower),315 Nm (newton meters)32.1 kgm (kilogram meters)232.3 ft-lb (foot-pounds),,,,,
Cars,PORSCHE,PORSCHE TAYCAN,TAYCAN TURBO,2020,2020,670,10,Permanent magnet synchronous,Front,160 kW (kilowatts)214.6 hp (mechanical horsepower)217.5 ps (metric horsepower),300 Nm (newton meters)30.6 kgm (kilogram meters)221.3 ft-lb (foot-pounds),Permanent magnet synchronous,Rear,300 kW (kilowatts)402.3 hp (mechanical horsepower)407.9 ps (metric horsepower),,
Cars,PORSCHE,PORSCHE TAYCAN,TAYCAN TURBO S,2020,2020,400,6,Permanent magnet synchronous,Front,160 kW (kilowatts)214.6 hp (mechanical horsepower)217.5 ps (metric horsepower),300 Nm (newton meters)30.6 kgm (kilogram meters)221.3 ft-lb (foot-pounds),Permanent magnet synchronous,Rear,300 kW (kilowatts)402.3 hp (mechanical horsepower)407.9 ps (metric horsepower),,Yes
Cars,TESLA,TESLA MODEL 3,MODEL 3 LONG RANGE AWD,2021,2021,22689,35,Permanent magnet synchronous,Rear,188 kW (kilowatts)252.1 hp (mechanical horsepower)255.6 ps (metric horsepower),,AC induction/asynchronous,Front,147 kW (kilowatts)197.1 hp (mechanical horsepower)199.9 ps (metric horsepower),,Yes
Cars,TESLA,TESLA MODEL 3,MODEL 3 LONG RANGE AWD,2020,2020,10540,44,Permanent magnet synchronous,Rear,188 kW (kilowatts)252.1 hp (mechanical horsepower)255.6 ps (metric horsepower),,AC induction/asynchronous,Front,147 kW (kilowatts)197.1 hp (mechanical horsepower)199.9 ps (metric horsepower),,Yes
Cars,TESLA,TESLA MODEL 3,MODEL 3 LONG RANGE AWD,2019,2019,2909,10,Switched reluctance,Rear,188 kW (kilowatts)252.1 hp (mechanical horsepower)255.6 ps (metric horsepower),,AC induction/asynchronous,Front,147 kW (kilowatts)197.1 hp (mechanical horsepower)199.9 ps (metric horsepower),,Yes
Cars,TESLA,TESLA MODEL 3,MODEL 3 PERFORMANCE AWD,2021,2021,2552,5,Permanent magnet synchronous,Rear,211 kW (kilowatts)283.0 hp (mechanical horsepower)286.9 ps (metric horsepower),,AC induction/asynchronous,Front,147 kW (kilowatts)197.1 hp (mechanical horsepower)199.9 ps (metric horsepower),,Yes
Cars,TESLA,TESLA MODEL 3,MODEL 3 PERFORMANCE AWD,2020,2020,4756,36,Permanent magnet synchronous,Rear,211 kW (kilowatts)283.0 hp (mechanical horsepower)286.9 ps (metric horsepower),,AC induction/asynchronous,Front,147 kW (kilowatts)197.1 hp (mechanical horsepower)199.9 ps (metric horsepower),,Yes
Cars,TESLA,TESLA MODEL 3,MODEL 3 PERFORMANCE AWD,2019,2019,3632,15,Switched reluctance,Rear,211 kW (kilowatts)283.0 hp (mechanical horsepower)286.9 ps (metric horsepower),,AC induction/asynchronous,Front,147 kW (kilowatts)197.1 hp (mechanical horsepower)199.9 ps (metric horsepower),,Yes
Cars,TESLA,TESLA MODEL S,MODEL S 100D,2018,2018,489,0,AC induction/asynchronous,Rear,285 kW (kilowatts)382.2 hp (mechanical horsepower)387.5 ps (metric horsepower),440 Nm (newton meters)44.9 kgm (kilogram meters)324.5 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),
Cars,TESLA,TESLA MODEL S,MODEL S 100D,2017,2017,301,2,AC induction/asynchronous,Rear,375 kW (kilowatts)502.9 hp (mechanical horsepower)509.9 ps (metric horsepower),650 Nm (newton meters)66.3 kgm (kilogram meters)479.4 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL S,MODEL S 60D,2017,2017,102,0,AC induction/asynchronous,Rear,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL S,MODEL S 60D,2016,2016,51,1,AC induction/asynchronous,Rear,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL S,MODEL S 70D,2016,2016,188,9,AC induction/asynchronous,Rear,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL S,MODEL S 75D,2018,2018,1098,11,AC induction/asynchronous,Rear,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL S,MODEL S 75D,2017,2017,770,5,AC induction/asynchronous,Rear,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL S,MODEL S 75D,2016,2016,236,3,AC induction/asynchronous,Rear,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL S,MODEL S 90D,2017,2017,482,2,AC induction/asynchronous,Rear,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL S,MODEL S 90D,2016,2016,902,6,AC induction/asynchronous,Rear,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL S,MODEL S 90D,2015,2015,168,1,AC induction/asynchronous,Rear,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL S,MODEL S P100D,2018,2018,113,2,AC induction/asynchronous,Rear,375 kW (kilowatts)502.9 hp (mechanical horsepower)509.9 ps (metric horsepower),600 Nm (newton meters)61.2 kgm (kilogram meters)442.5 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL S,MODEL S P100D,2017,2017,195,4,AC induction/asynchronous,Rear,375 kW (kilowatts)502.9 hp (mechanical horsepower)509.9 ps (metric horsepower),600 Nm (newton meters)61.2 kgm (kilogram meters)442.5 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL S,MODEL S P100D,2016,2016,23,1,AC induction/asynchronous,Rear,375 kW (kilowatts)502.9 hp (mechanical horsepower)509.9 ps (metric horsepower),600 Nm (newton meters)61.2 kgm (kilogram meters)442.5 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL S,MODEL S P90D,2016,2016,52,0,AC induction/asynchronous,Rear,375 kW (kilowatts)502.9 hp (mechanical horsepower)509.9 ps (metric horsepower),600 Nm (newton meters)61.2 kgm (kilogram meters)442.5 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL S,MODEL S P90D,2015,2015,32,0,AC induction/asynchronous,Rear,375 kW (kilowatts)502.9 hp (mechanical horsepower)509.9 ps (metric horsepower),600 Nm (newton meters)61.2 kgm (kilogram meters)442.5 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL X,MODEL X 100D,2018,2018,756,4,AC induction/asynchronous,Rear,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL X,MODEL X 100D,2017,2017,460,3,AC induction/asynchronous,Rear,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL X,MODEL X 75D,2018,2018,491,10,AC induction/asynchronous,Rear,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL X,MODEL X 75D,2017,2017,488,8,AC induction/asynchronous,Rear,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL X,MODEL X 75D,2016,2016,2,0,AC induction/asynchronous,Rear,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL X,MODEL X 90D,2017,2017,725,7,AC induction/asynchronous,Rear,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL X,MODEL X 90D,2016,2016,30,0,AC induction/asynchronous,Rear,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL X,MODEL X P100D,2018,2018,102,3,AC induction/asynchronous,Rear,375 kW (kilowatts)502.9 hp (mechanical horsepower)509.9 ps (metric horsepower),660 Nm (newton meters)67.3 kgm (kilogram meters)486.8 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL X,MODEL X P100D,2017,2017,221,6,AC induction/asynchronous,Rear,375 kW (kilowatts)502.9 hp (mechanical horsepower)509.9 ps (metric horsepower),660 Nm (newton meters)67.3 kgm (kilogram meters)486.8 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,TESLA,TESLA MODEL X,MODEL X P100D,2016,2016,5,1,AC induction/asynchronous,Rear,375 kW (kilowatts)502.9 hp (mechanical horsepower)509.9 ps (metric horsepower),660 Nm (newton meters)67.3 kgm (kilogram meters)486.8 ft-lb (foot-pounds),AC induction/asynchronous,Front,193 kW (kilowatts)258.8 hp (mechanical horsepower)262.4 ps (metric horsepower),330 Nm (newton meters)33.7 kgm (kilogram meters)243.4 ft-lb (foot-pounds),Yes
Cars,VOLKSWAGEN,VOLKSWAGEN GOLF,E-GOLF,2014,2014,34,5,Permanent magnet synchronous,Front,85 kW (kilowatts)114.0 hp (mechanical horsepower)115.6 ps (metric horsepower),270 Nm (newton meters)27.5 kgm (kilogram meters)199.1 ft-lb (foot-pounds),,,,,
